Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,Hybrid China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden,Mexico,New Zealand,Hong Kong
2014,6,86.30681168,88.69221653,67.34064484,76.95014954,111.1763992,140.8798828,115.1607397,63.6721103,159.1837006,70.29832458,93.39375532,72.41730499,96.348332,104.6030273,64.17394319,70.28411865,78.62324022,143.5271912,122.6213074,83.60504474,123.775528,85.96846771,102.2316513,105.8055156,85.73344942,30.65721512,19.1994,116.2039671
2014,7,92.88542902,96.9505515,77.25981903,114.6071777,143.0921783,160.1059875,118.7514113,88.86285496,148.7422028,105.1963501,92.95880048,104.4068756,128.7563631,110.7017517,76.00237932,92.39057922,70.45946932,153.2280731,117.791214,91.74008629,146.2275696,78.50600433,127.4802856,94.60066506,108.8742664,12.09035015,22.01948,118.4752747
2014,8,98.88687333,105.6145554,95.73200226,168.4329071,155.5093231,235.0744324,117.7281749,60.44330146,132.2171783,142.9677887,102.436282,133.4505768,141.8189142,78.3236084,76.09146072,79.65977478,120.9226419,246.013031,110.564537,95.45235413,209.914032,63.87733459,151.0019073,77.59931977,127.6632753,27.67508888,16.78098,291.8607886
2014,9,123.0515604,128.0141204,88.75442505,198.7192993,140.3446045,202.5531311,153.1138008,107.4952488,242.4857483,177.0050201,102.7071298,115.3219986,161.9760544,135.201004,92.84515778,64.48342896,130.8235411,284.6849365,108.4874878,114.1661117,267.56604,86.21659088,185.7619019,107.9098285,126.5469373,12.94737339,53.40998,215.1231159
2014,10,118.8889743,121.8453565,88.32337952,91.75434113,159.8357544,148.0623169,171.6761776,105.9733047,208.5667725,150.6270142,126.6362404,91.51668549,62.5493636,104.2589035,105.372543,88.13387299,101.9874408,161.5838318,144.5205536,118.4013097,159.8326263,113.3345795,240.4953156,99.81389864,118.5385441,30.87252045,28.93873,155.63571
2014,11,113.2446414,119.1998876,65.17246246,142.0146942,216.4508362,138.7608948,129.2957074,105.526115,195.1889038,109.4572754,89.25026131,119.6830673,132.6757341,159.6991119,108.7719371,104.9105988,68.56093759,315.3268738,140.2866364,104.4182945,142.2918549,93.18595123,112.7389832,120.1338512,100.014038,19.50329781,27.42299,179.2182052
2014,12,111.615038,113.6311845,91.33516693,185.6092224,147.4951172,282.8293152,80.32047255,110.3628221,261.0257568,152.4196014,167.2021894,115.6545715,112.9412765,120.3016129,106.2677985,107.7613602,122.8862182,321.743103,154.8683472,98.88001605,210.3607483,87.41532135,93.96096039,58.89923617,111.0270519,26.34499741,44.1002,124.4450286
2015,1,135.7967379,142.6508096,108.0818329,193.9933777,286.0515137,132.6553345,166.8687101,131.7889908,178.6987152,201.2724762,163.423032,120.2388382,132.5102514,99.27145386,92.48266886,165.8157959,78.78919621,345.4550781,154.820343,132.1249437,201.19104,120.5442276,232.2151031,98.03493372,107.9964638,31.71133614,44.75051,192.9127279
2015,2,112.3082137,118.066062,141.4508514,302.9389343,240.5894165,93.31575775,114.8047682,108.9592193,238.4951172,161.2988281,168.8331436,98.44914246,34.00771257,85.66957855,75.21051407,125.8762665,62.05310226,298.5555725,118.4397964,106.6882389,190.138916,87.60946655,117.68367,95.11193973,99.97752684,22.28947067,60.18796,155.5238583
2015,3,103.7175776,106.4103236,53.48806,317.2683411,131.6358948,86.81047821,113.3106129,67.81739527,174.1975708,80.5553894,144.8039138,53.43037033,233.2018371,109.0559082,77.94589961,97.98577881,95.14107618,239.8610687,128.2254639,93.68443707,209.5493011,95.97896576,82.09329224,116.265651,85.07596304,37.87656784,34.97085,108.5522875
